model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,247.38712415391478,-454.0037823279788,-501.1782521204842,-397.09451432911806,0.03390082401126987
m2,244.19343841012173,-447.07613490958477,-496.5876231538657,-186.41455586042179,0.03485146899724995
m3,357.04275529884853,-668.9032324535362,-715.595537168434,-668.1082917720761,0.013554340865483955
m4,291.4493673933121,-549.0504201871042,-605.1428713419102,-214.3410164128225,0.0253002941719369
m5,370.2191996181797,-741.9289285348652,-740.6048660833522,-743.7046214890961,0.013967418871406572
