model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,283.0408412135868,-515.2754105919175,-562.0920348069242,-414.21763492800505,0.022000149345009552
m2,279.6363179771684,-517.5461733696789,-568.4925723508932,-408.1700729792316,0.02498595146228192
m3,371.8780640437165,-697.752988808715,-744.9847504354168,-674.0903185856561,0.011913318166709926
m4,252.23244060500832,-534.7598863077711,-590.9872980437613,-327.17194330632515,0.023130095959412775
m5,379.0765849327453,-758.0829727621444,-756.8457914682288,-761.8898765524327,0.012881458273857518
