model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,208.7081373207482,-384.5134441469478,-428.7856491165775,-32.45429437007226,0.028882917477132838
m2,200.88840934462885,-373.78899787324235,-422.10387523432195,87.50296834156165,0.03187282119148824
m3,345.8257713994384,-648.0257491201687,-695.5534170157455,-659.4671748300625,0.022062291125425328
m4,245.03661400741169,-455.99117552712505,-510.5597994407681,-10.200099099369709,0.02497846592279976
m5,349.71288471570455,-700.5412121366799,-699.8092603727275,-704.2650772613455,0.025154943370394898
