model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,209.5943998289204,-391.537664860327,-436.1352234477338,16.92445199693111,0.04179341406759597
m2,211.63325356911764,-381.29884661267346,-428.3518752201992,289.5666619567406,0.042515997007795694
m3,352.6423825569947,-656.9558929141838,-703.879040009323,-663.4793123852111,0.024213052072435896
m4,245.22315844749778,-443.9294552150186,-498.1231171538942,89.07059431529183,0.03997084554681746
m5,352.95561180878497,-703.3286232776541,-702.1776501827451,-707.4081699244385,0.028231230561932913
