model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,207.5904259718688,-371.5101827028384,-420.816954253037,-394.76329222356713,0.06517472987969447
m2,204.70515975487524,-361.5280565156852,-416.17323669572994,-380.53980519610496,0.08168722782354311
m3,351.23425201073417,-653.3753030108248,-701.2370456889657,-672.0095334667398,0.014784782902707487
m4,235.22633514186978,-433.8314351136721,-491.73427923071836,-338.22171252226315,0.05005987959268609
m5,360.7748434143469,-722.6964912959744,-721.1874028845784,-727.8432040827889,0.015824023552966568
