model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,196.5853122168355,-355.93518277533263,-401.2564900035648,-106.71213556946549,0.038321448472378714
m2,192.35851742738748,-346.95967451054827,-395.99984804026803,-25.406524017420168,0.1042680805537418
m3,345.4822317903962,-643.7452381693336,-691.8953811449771,-663.1116595978697,0.025844390597752263
m4,202.77591862781966,-406.9965827356167,-463.8972844020766,-96.14873004405786,0.04016771568940007
m5,347.06704320490127,-694.2492121879667,-693.4597416426768,-697.612018679826,0.030872122422814927
