model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,202.5100588719659,-361.9961966300819,-408.29786182612247,-124.74175204392299,0.06308603359426049
m2,167.9806582090344,-363.20843663584105,-411.34370292437,41.867682383801196,0.08924193968608492
m3,346.8943502651592,-648.2124137956309,-696.2878308381037,-663.8773841084789,0.024132827349028073
m4,229.87830739021908,-416.18158884311924,-472.50986775980084,-138.87418406906892,0.05914213776571912
m5,346.53629608361064,-695.5005504545106,-694.5780229450354,-700.5668704113144,0.028754213334624603
