model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,212.2307852629925,-390.93590138183777,-435.2164685314443,-38.38844319749427,0.030199321148299586
m2,201.7681164162049,-379.05044167232626,-426.7085517642,91.9539475866905,0.0397544393638055
m3,349.47237246858265,-651.3527651466064,-699.4232833750302,-664.3398814176123,0.022366882869914173
m4,246.8584459634979,-466.68511450140636,-521.5449977646899,-88.18467312507937,0.025861894360760383
m5,351.70339922822046,-706.1258724656211,-705.0493994865916,-708.8774853599234,0.024621472967340487
