model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,179.9960652802441,-314.141870275192,-360.802456886891,-111.10660859952895,0.04666536898325219
m2,172.37551877999203,-305.4978580858068,-353.1318957045056,118.57948848925446,0.06262731558721917
m3,329.26220501301685,-631.1581636947299,-678.5966527161165,-649.6882013099262,0.020374395007093687
m4,101.13277960629972,-336.3997254026326,-392.6217522811179,-8.59716659597791,0.04544321438697235
m5,348.6209264534701,-698.7811847588937,-697.7782397079916,-704.1561809430344,0.021705083564796994
