model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,251.4758445790365,-460.23856355049975,-504.66371493882036,-196.68005319683618,0.022581695322334186
m2,242.98704683787432,-452.8883731452065,-501.8102997980802,-158.34873103127381,0.026045992495443877
m3,351.4349678921509,-654.3622046445764,-702.1927229506273,-663.6627677547227,0.014797895905203853
m4,253.88169623684504,-466.1274622928124,-522.0031357781453,-195.14631442917084,0.026590983746586763
m5,359.2813390854985,-722.1800058936803,-720.5728866250747,-725.9720985658656,0.01643298939557257
