model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,204.18534648155605,-374.31049130428835,-419.0515899061473,19.29870237069099,0.02794639526041309
m2,196.88635558696805,-365.5017220108107,-412.15719889748607,315.8922096510562,0.0494178726212815
m3,347.3170018983147,-647.787318902863,-695.2648469203658,-663.1609192507672,0.025491994501088234
m4,162.14209506468418,-446.9074729849656,-501.35827820650013,152.2294385224934,0.0286345865356773
m5,348.93242498245905,-699.3959865339914,-698.2699111195016,-701.5032621174324,0.029721027939686815
