model_name,10-fold_cv,AIC,DIC,WAIC,default_cv
m1,205.38814603281128,-394.3991829907731,-438.82766793285333,-15.901157824820018,0.03364207452941214
m2,208.1570052971055,-384.56173010522303,-431.473106102432,136.51557397690812,0.04451974663055094
m3,349.5616362118459,-654.4899892833312,-702.0998752189912,-669.252312055974,0.021927832830522808
m4,164.05856610916626,-457.35792669616717,-512.3710223768794,-41.615057588856416,0.02753294644609308
m5,351.27277829531783,-703.9162647195928,-703.1627275532883,-707.8488538166633,0.025284069596014463
